
Category,RequiredCredits,SampleCourse
Ignite Seminar,2-3,"CORE 1000 (e.g., DPT 1212, DIET 1000, OCS 1000, MAT 1000)"
Cura Personalis 1: Self in Community,1,CORE 1500 or DPT 1111
Eloquentia Perfecta: Written & Visual Communication,3,ENGL 1900
Eloquentia Perfecta: Oral & Visual Communication,3,CORE 1200 or DIET 3850
Eloquentia Perfecta: Creative Expression,2-3,DIET 2510 & 2750 (or other elective)
Quantitative Reasoning,3,STAT 1100 or STAT 1300
Ultimate Questions: Theology,3,Any approved theology course
Ultimate Questions: Philosophy,3,Any approved philosophy course
Cura Personalis 2: Self in Contemplation,0,CORE 2500 or OCS 1010
Cura Personalis 3: Self in the World,1,MAT 3000 or DIET 3890
Collaborative Inquiry,2-3,IPE 4900
"Aesthetics, History & Culture",3,Any approved course in this category
Social & Behavioral Sciences,3,PSY 1010
Natural & Applied Sciences,3,BIOL 1240 or CHEM 1080 or CHEM 1110
Writing Intensive (Attribute),0,IPE 4900 (example)
Identities in Context (Attribute),0,IPE 2100 or HCE 2010
Global Interdependence (Attribute),0,IPE 2100
"Dignity, Ethics, and a Just Society (Attribute)",0,IPE 4200
Reflection in Action (Attribute),0,IPE 4900
